FLOWNAME;JOBNAME;NONSTANDART_JOB;TRANSFORMNAME;TRANSFORMORDER;SOURCETABLENAMEFULL;SOURCECOLUMNNAMEFULL;SRC_CLMN_TYPE;SRC_CLMN_LENGHT;TARGETTABLENAMEFULL;TARGETCOLUMNNAMEFULL;TRG_CLMN_TYPE;TRG_CLMN_LENGHT;COLUMNTRANSFORM;STOREDTEXT
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.DEAL_ID;C;20;WORK_DQ.BGL_PST;WORK_DQ.BGL_PST.DEAL_ID;C;20;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.PCID;N;8;ETL_STG.BGL_PST_DQ;ETL_STG.BGL_PST_DQ.PCID;N;8;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.RNARLNG;C;300;WORK_DQ.BGL_PST;WORK_DQ.BGL_PST.RNARLNG;C;300;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.PRFCNTR;C;4;WORK_DQ.BGL_PST;WORK_DQ.BGL_PST.PRFCNTR;C;4;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.PRFCNTR;C;4;ETL_STG.BGL_PST_DQ;ETL_STG.BGL_PST_DQ.PRFCNTR;C;4;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.PNAR;C;30;ETL_STG.BGL_PST_DQ;ETL_STG.BGL_PST_DQ.PNAR;C;30;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.NRT;C;300;WORK_DQ.BGL_PST;WORK_DQ.BGL_PST.NRT;C;300;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.RNARSHT;C;100;WORK_DQ.BGL_PST;WORK_DQ.BGL_PST.RNARSHT;C;100;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.RNARSHT;C;100;ETL_STG.BGL_PST_DQ;ETL_STG.BGL_PST_DQ.RNARSHT;C;100;ONETOONE;
DWHDDS_265_990_Stream_BGL_Target;BGL_DQ_POSTING;1;BGL_DQ_POSTING;1;BGL.PST;BGL.PST.NRT;C;300;ETL_STG.BGL_PST_DQ;ETL_STG.BGL_PST_DQ.NRT;C;300;ONETOONE;
